RecordType,Name,Stage,Amount,Probability,LastActivityDays,Notes
Opportunity,XYZ Opportunity,Proposal,50000.0,60.0,5.0,Ready to close soon
Opportunity,Northbound,Qualification,150000.0,80.0,10.0,High confidence
Opportunity,DeltaOne,Negotiation,150000.0,75.0,8.0,Also high confidence
Opportunity,Optima,Proposal,80000.0,50.0,91.0,No updates in over 90 days
Opportunity,RoverTech,Qualification,70000.0,40.0,95.0,No updates in over 90 days
Lead,TechAlpha,,,,19.0,1 success markers
Lead,BizSolutions,,,,24.0,2 success markers
Lead,StartupX,,,,9.0,1 success markers
Lead,EnterpriseY,,,,2.0,4 success markers
Lead,RetailZ,,,,10.0,4 success markers
Lead,AutoMates,,,,2.0,3 success markers
Lead,FoodServ,,,,12.0,1 success markers
Lead,LogiTech,,,,28.0,4 success markers
Lead,EduServe,,,,22.0,4 success markers
Lead,FinGroup,,,,25.0,1 success markers
Meeting,Sales Team Sync,,,,,"Discussed synergy, timeline extended 2 weeks, rep A clarifies features, rep B confirms budget"
Opportunity,MavTech,Closed Lost,120000.0,0.0,0.0,Lost in final stage to competitor
Lead,Random0,,94961.0,,108.0,Filler data
Meeting,Random1,Qualification,62948.0,79.0,36.0,Filler data
Opportunity,Random2,Closed Lost,45843.0,64.0,88.0,Filler data
