deal_name,stage,amount,owner_id,lead_source,close_date,next_step
Acme Corp renewal,Proposal,500000.0,EMP476bbd,Webinar,2025-12-31,Phone follow-up
Northstar,Negotiation,60000.0,EMP111111,Webinar,,Needs next step
Redline,Negotiation,40000.0,EMP222222,Trade Show,2025-09-10,
Stafford Ltd,Negotiation,50000.0,EMP333333,Referral,2025-10-01,Follow-up call
"King, Tucker & Rowe",Negotiation,100000.0,EMP444444,Webinar,2025-07-15,Send revised proposal
Global Industries,Qualification,150000.0,EMP555555,Webinar,2025-06-30,Confirm details
Global Ind.,Qualification,150000.0,EMP666666,Webinar,2025-06-29,Review next steps
Thompson Inc,Closed Won,100310.0,EMP536822,Referral,2026-04-11,Arrange site visit
"Kerr, Davis and Phelps",Prospecting,81966.0,EMP500346,Referral,2026-04-11,
"Berg, Herman and Thomas",Closed Lost,96098.0,EMP341560,Webinar,2026-04-01,Schedule demo
Kemp-Herrera,Proposal,128118.0,EMP257021,Referral,2025-04-25,Call next week
Stevenson LLC,Prospecting,89698.0,EMP812340,Referral,2026-02-02,Call next week
Mccann-Bennett,Proposal,188711.0,EMP250771,Webinar,2026-03-04,Call next week
Cooper Group,Negotiation,97530.0,EMP730103,Cold Call,2025-07-25,Arrange site visit
"Bowen, Dunn and Barton",Closed Won,78629.0,EMP841736,Referral,2026-02-27,Email follow-up
"Weaver, Hernandez and Johnson",Qualification,104106.0,EMP515749,Partner,2025-04-24,Email follow-up
"Wallace, Juarez and Hinton",Qualification,178390.0,EMP315861,Referral,2025-10-26,Schedule demo
Harrison Group,Closed Won,34981.0,EMP291366,Webinar,2025-11-05,Arrange site visit
Davis Group,Prospecting,93500.0,EMP698781,Partner,2025-08-21,Schedule demo
Hunter Group,Closed Lost,102736.0,EMP993481,Trade Show,2026-01-24,Email follow-up
"Valdez, Johnson and Hall",Closed Lost,199754.0,EMP494955,Webinar,2025-08-14,Schedule demo
George Group,Prospecting,113945.0,EMP797279,Cold Call,2026-03-31,Schedule demo
Clay PLC,Qualification,159287.0,EMP483407,Cold Call,2025-03-22,Call next week
Fox and Sons,Closed Lost,115078.0,EMP197379,Webinar,2025-05-23,Call next week
Davis-Middleton,Negotiation,141069.0,EMP472478,Partner,2025-06-18,Call next week
Palmer PLC,Prospecting,60189.0,EMP368430,Trade Show,2025-12-12,
Pierce PLC,Prospecting,100069.0,EMP836400,Partner,2026-03-14,
"Oliver, Burke and Hancock",Closed Lost,48703.0,EMP251138,Cold Call,2026-04-08,Schedule demo
Chambers-Ruiz,Closed Lost,163045.0,EMP577132,Referral,2025-03-31,Call next week
"Morrison, Johnson and Reed",Closed Lost,86861.0,EMP582496,Referral,2026-03-24,
Park Inc,Proposal,115201.0,EMP945316,Trade Show,2025-11-25,Arrange site visit
Alexander PLC,Closed Won,40512.0,EMP372848,Webinar,2025-07-09,
"Lewis, Smith and Young",Qualification,95252.0,EMP405727,Referral,2025-08-02,Arrange site visit
Davis-Hill,Prospecting,55542.0,EMP379245,Referral,2026-03-31,Call next week
"Roberts, Murphy and Le",Closed Won,132042.0,EMP779090,Webinar,2025-05-25,Arrange site visit
"Merritt, Evans and Lambert",Closed Lost,165514.0,EMP347556,Partner,2025-08-21,Schedule demo
"Martinez, Crawford and Salazar",Closed Won,10682.0,EMP949993,Referral,2026-04-03,Call next week
"Davis, Callahan and Ortiz",Closed Lost,43142.0,EMP584939,Trade Show,2025-10-08,Call next week
Vincent Group,Negotiation,116349.0,EMP669619,Referral,2025-06-12,Email follow-up
Thomas-Richard,Proposal,172812.0,EMP137116,Referral,2025-10-31,Schedule demo
Stevenson-Thomas,Negotiation,176351.0,EMP356946,Webinar,2026-04-14,
"Morris, Vega and Jones",Prospecting,171214.0,EMP699377,Trade Show,2026-01-10,Schedule demo
Gonzalez LLC,Negotiation,38501.0,EMP838563,Trade Show,2025-04-11,Call next week
"Terry, Curtis and Rojas",Closed Won,35868.0,EMP758753,Trade Show,2026-02-20,Email follow-up
Johnson-Alexander,Prospecting,132567.0,EMP540614,Webinar,2025-06-18,Arrange site visit
Soto-Moore,Negotiation,48618.0,EMP348987,Referral,2025-05-27,Arrange site visit
Greer Group,Closed Lost,130026.0,EMP308173,Trade Show,2025-08-07,Arrange site visit
Moore-Hernandez,Prospecting,181343.0,EMP389947,Referral,2025-12-31,Arrange site visit
"Jordan, Figueroa and Wilson",Negotiation,156712.0,EMP583964,Trade Show,2025-10-12,Schedule demo
Taylor PLC,Closed Won,148951.0,EMP515405,Webinar,2025-05-08,Schedule demo
Giles-Combs,Prospecting,104208.0,EMP487186,Cold Call,2026-01-31,Email follow-up
Brady-Berry,Qualification,65754.0,EMP188133,Partner,2025-11-04,
"Richardson, Mcintosh and Garcia",Proposal,196334.0,EMP167838,Trade Show,2026-04-06,
Meyer Inc,Prospecting,120665.0,EMP479151,Referral,2026-04-06,Call next week
"Sutton, Lawrence and Owens",Closed Lost,125406.0,EMP400363,Referral,2025-12-26,Call next week
Mclaughlin-Scott,Qualification,105726.0,EMP828928,Referral,2025-04-16,Call next week
"Mcguire, Martin and Garrett",Qualification,140103.0,EMP133171,Trade Show,2026-02-03,
"Carson, Vaughan and Chan",Closed Won,119222.0,EMP624080,Referral,2025-06-14,
Blevins Ltd,Prospecting,152236.0,EMP110374,Cold Call,2025-08-21,Call next week
"Sanchez, Perez and Mann",Qualification,191573.0,EMP132441,Webinar,2026-01-15,Email follow-up
"Wang, Thomas and Walsh",Closed Won,180668.0,EMP820148,Trade Show,2025-07-19,Schedule demo
Charles PLC,Closed Won,83104.0,EMP323457,Webinar,2025-08-29,Schedule demo
"Thompson, Garcia and Davis",Prospecting,161371.0,EMP778578,Webinar,2025-12-12,
"Mcdonald, Deleon and Lane",Prospecting,100322.0,EMP909082,Cold Call,2025-09-18,Arrange site visit
Erickson and Sons,Proposal,158143.0,EMP983465,Cold Call,2025-12-28,Call next week
Brown-Cook,Qualification,161859.0,EMP721198,Referral,2025-07-11,
"Russell, Whitehead and Terrell",Prospecting,134527.0,EMP154639,Partner,2026-04-22,
"Allen, Parsons and Watkins",Proposal,42893.0,EMP304334,Referral,2026-01-30,Schedule demo
Wright PLC,Negotiation,187870.0,EMP524422,Cold Call,2025-06-06,
Chavez Inc,Qualification,50392.0,EMP485091,Trade Show,2025-06-23,
Fisher-Stone,Prospecting,66099.0,EMP523800,Referral,2025-09-14,Arrange site visit
Page Ltd,Negotiation,117444.0,EMP920744,Trade Show,2025-08-25,Arrange site visit
"Rios, Mcneil and Bradshaw",Proposal,26512.0,EMP201202,Referral,2025-08-24,Email follow-up
Davis-Banks,Qualification,179259.0,EMP533109,Webinar,2025-09-11,
Young-Holland,Closed Won,79242.0,EMP409858,Webinar,2025-11-20,
Miller-Thomas,Qualification,91458.0,EMP177275,Cold Call,2025-07-11,
Hughes Ltd,Proposal,179614.0,EMP235212,Referral,2025-06-20,Schedule demo
Williams-Frank,Negotiation,63613.0,EMP180674,Partner,2025-10-01,
Dixon-Ingram,Proposal,129638.0,EMP286401,Trade Show,2025-06-16,Call next week
Carr-Carroll,Qualification,128995.0,EMP183915,Trade Show,2025-03-23,Call next week
"Lee, Monroe and Adams",Closed Lost,165994.0,EMP233847,Webinar,2025-11-07,Call next week
Zimmerman-Gonzalez,Closed Won,38591.0,EMP712541,Referral,2025-08-04,
Baker-Powell,Prospecting,148725.0,EMP874596,Trade Show,2025-07-18,Email follow-up
"Jimenez, Sampson and Jackson",Qualification,106934.0,EMP550874,Partner,2025-11-23,Arrange site visit
Clark LLC,Qualification,163408.0,EMP260887,Partner,2025-10-04,
"Mann, Olsen and Sandoval",Proposal,133720.0,EMP952334,Partner,2025-05-26,Email follow-up
Collins-Howell,Negotiation,134343.0,EMP573900,Cold Call,2025-04-22,
Rivera and Sons,Proposal,155082.0,EMP326112,Trade Show,2026-03-06,Call next week
"Martinez, Howard and Le",Proposal,182570.0,EMP124764,Referral,2026-04-13,
Alexander-Mcdaniel,Negotiation,18771.0,EMP561701,Referral,2025-06-18,Email follow-up
Patterson-Graham,Closed Lost,174073.0,EMP868129,Cold Call,2025-10-23,Arrange site visit
Silva-Downs,Closed Lost,176668.0,EMP643586,Webinar,2026-04-09,Arrange site visit
"Owen, Anderson and Smith",Negotiation,189482.0,EMP295543,Webinar,2025-12-03,Call next week
"Trevino, Hughes and Castillo",Negotiation,39703.0,EMP860374,Partner,2025-09-27,Schedule demo
Walsh-Davis,Closed Lost,150582.0,EMP996981,Trade Show,2026-04-02,Email follow-up
