Id,Name,StageName,Amount,CloseDate,CreatedDate,OwnerId
0069000001XYZ001,Enterprise Deal A,Closed Won,95000,2025-03-15,2025-02-15,0059000001abcAAA
0069000001XYZ002,Enterprise Deal B,Closed Won,75000,2025-04-01,2025-03-10,0059000001abcAAA
0069000001XYZ003,Mid-Market Deal,Proposal,40000,2025-06-01,2025-04-20,0059000001abcAAA
0069000001XYZ004,Renewal Contract,Closed Won,30000,2025-01-20,2025-01-10,0059000001abcAAB
0069000001XYZ005,Q1 Upsell,Closed Won,50000,2025-02-25,2025-02-10,0059000001abcAAB
0069000001XYZ006,Small Deal A,Closed Lost,15000,2025-02-15,2025-01-25,0059000001abcAAB
0069000001XYZ007,Quick Win,Closed Won,20000,2025-03-30,2025-03-23,0059000001abcAAD
0069000001XYZ008,Prospecting Deal,Prospecting,35000,2025-08-01,2025-07-10,0059000001abcAAD
0069000001XYZ009,Marketing Opp,Proposal,18000,2025-05-01,2025-04-05,0059000001abcAAC
0069000001XYZ00A,Support Upgrade,Closed Lost,10000,2025-03-15,2025-02-25,0059000001abcAAE
0069000001XYZ00B,Inactive Account1,Closed Lost,22000,2025-04-01,2025-02-10,0059000001abcAAF
0069000001XYZ00C,Operations Project,Negotiation,55000,2025-07-01,2025-04-30,0059000001abcAAG
